,city,lngs,lats,max_temp,humidity,cloudiness,wind_speed
0,Cockburn Town,-71.14,21.46,83.53,79.0,92.0,11.65
1,Kununurra,128.73,-15.77,93.2,30.0,0.0,5.82
2,Arman',150.17,59.7,45.99,53.0,0.0,0.47
3,Airai,125.41,-8.93,74.89,51.0,100.0,5.14
5,Grindavik,-22.43,63.84,39.2,80.0,75.0,23.04
6,New Norfolk,147.06,-42.78,62.01,53.0,61.0,4.0
7,Albany,-73.97,42.6,46.99,54.0,0.0,2.44
9,Lokosovo,74.82,61.13,38.53,84.0,14.0,9.48
10,Avarua,-159.78,-21.21,78.8,78.0,26.0,5.82
11,Sorong,131.25,-0.88,78.53,85.0,100.0,6.82
12,Atuona,-139.03,-9.8,78.66,76.0,3.0,22.55
13,Fort-Shevchenko,50.26,44.51,56.77,56.0,0.0,6.78
14,Seybaplaya,-90.67,19.65,82.4,88.0,40.0,5.82
15,Hobart,147.33,-42.88,62.01,44.0,40.0,14.99
16,Bilma,12.92,18.69,87.03,17.0,0.0,11.07
17,Kapaa,-159.32,22.08,86.0,62.0,20.0,14.99
18,Gamba,10.0,-2.65,73.56,85.0,100.0,7.29
19,Lubuagan,121.17,17.35,78.64,60.0,27.0,2.64
20,Fort Stewart,-81.61,31.87,64.99,77.0,1.0,3.36
22,Hermanus,19.23,-34.42,50.04,78.0,0.0,9.46
23,Tsiroanomandidy,46.03,-18.77,61.23,80.0,0.0,1.16
24,Ushuaia,-68.3,-54.8,44.6,75.0,96.0,3.36
25,Ntoum,9.78,0.38,75.2,94.0,75.0,6.93
26,Punta Arenas,-70.92,-53.15,42.8,87.0,75.0,5.82
27,Rikitea,-134.97,-23.12,73.18,72.0,100.0,21.18
28,Hasaki,140.83,35.73,77.0,73.0,75.0,13.87
29,Tuktoyaktuk,-133.04,69.45,37.4,74.0,75.0,2.24
30,Nikolskoye,30.79,59.7,57.2,71.0,100.0,11.18
31,Guerrero Negro,-114.06,27.98,77.77,61.0,0.0,14.99
32,Igarka,86.58,67.47,51.98,81.0,100.0,25.86
33,Sabang,95.32,5.89,83.62,74.0,100.0,5.14
34,Tiksi,128.87,71.69,45.03,80.0,100.0,13.31
35,Nouadhibou,-17.03,20.93,75.2,83.0,0.0,11.41
36,São João da Barra,-41.05,-21.64,73.0,90.0,100.0,9.26
37,Puerto Ayora,-90.35,-0.74,66.69,89.0,97.0,9.19
38,Vaini,-175.2,-21.2,73.4,78.0,75.0,9.17
39,Jerome,-114.52,42.72,81.0,30.0,1.0,4.7
41,Saskylakh,114.08,71.92,46.35,68.0,3.0,13.2
42,Muzaffarabad,73.47,34.37,69.26,31.0,0.0,5.08
43,Lodwar,35.6,3.12,82.04,42.0,0.0,17.87
44,Yellowknife,-114.35,62.46,53.01,71.0,75.0,8.05
46,Bredasdorp,20.04,-34.53,39.2,93.0,0.0,2.75
47,Province of Mantua,10.78,45.17,66.0,88.0,99.0,5.5
48,Adrar,-10.07,20.5,92.77,27.0,3.0,6.29
51,Kavieng,150.8,-2.57,83.44,79.0,19.0,13.96
53,Jiwani,61.74,25.05,85.44,37.0,0.0,6.17
54,Andradina,-51.38,-20.9,72.72,63.0,100.0,12.66
55,Sukhoy Log,62.03,56.91,33.66,93.0,100.0,5.64
56,Pak Chong,101.42,14.71,77.94,85.0,100.0,1.01
57,Te Anau,167.72,-45.42,51.98,79.0,100.0,11.07
58,Cherskiy,161.3,68.75,41.34,64.0,0.0,13.13
59,Grand Gaube,57.66,-20.01,70.0,67.0,27.0,5.01
60,Mataura,168.86,-46.19,63.0,54.0,100.0,18.01
61,Mar del Plata,-57.56,-38.0,46.0,80.0,1.0,5.82
