,cities,city_name,lats,lngs,max_temp,humidity,cloudiness,wind_speed,country,date
0,ushuaia,Ushuaia,-54.8,-68.3,32,92,20,25.28,AR,1595906256
1,atuona,Atuona,-9.8,-139.03,79.74,71,0,25.7,PF,1595906152
2,arraial do cabo,Arraial do Cabo,-22.97,-42.03,71.62,81,0,24.4,BR,1595906329
3,rikitea,Rikitea,-23.12,-134.97,72.5,82,95,14.09,PF,1595906330
4,faanui,Faanui,-16.48,-151.75,79,80,88,12.97,PF,1595905933
5,saint george,Saint George,37.1,-113.58,100.4,11,1,17.22,US,1595905743
6,jamestown,Jamestown,42.1,-79.24,73,94,75,8.05,US,1595906155
7,cherskiy,Cherskiy,68.75,161.3,50.41,47,27,10.47,RU,1595906333
8,butaritari,Butaritari,3.07,172.79,83.17,78,100,11.54,KI,1595906334
9,albany,Albany,42.6,-73.97,82,83,60,5.17,US,1595906102
10,hobart,Hobart,-42.88,147.33,55,71,75,4.7,AU,1595906260
11,tuktoyaktuk,Tuktoyaktuk,69.45,-133.04,57.2,87,90,13.87,CA,1595906336
12,gberia fotombu,Gberia Fotombu,9.88,-11.17,68.43,98,100,5.66,SL,1595906336
13,zhezkazgan,Zhezkazgan,47.8,67.71,64.4,72,75,13.42,KZ,1595906337
14,sayansk,Sayansk,54.11,102.16,67.98,59,18,4.68,RU,1595906337
15,new norfolk,New Norfolk,-42.78,147.06,54,87,43,1.59,AU,1595906337
16,illoqqortoormiut,,,,,,,,,
17,esperance,Esperance,-33.87,121.9,59,87,27,11.41,AU,1595906338
18,hithadhoo,Hithadhoo,-0.6,73.08,82.87,78,100,14.05,MV,1595906184
19,airai,Airai,-8.93,125.41,70.38,53,95,4.65,TL,1595906339
20,chuy,Chui,-33.7,-53.46,46.6,78,100,8.9,UY,1595906164
21,vao,Vao,-22.67,167.48,71.6,80,84,19.86,NC,1595906223
22,taunggyi,Taunggyi,20.78,97.03,68.88,95,100,0.96,MM,1595906340
23,palembang,Palembang,-2.92,104.75,84.2,74,20,6.93,ID,1595906071
24,lompoc,Lompoc,34.64,-120.46,62.6,77,0,12.75,US,1595906341
25,vaini,Vaini,-21.2,-175.2,71.6,83,75,12.75,TO,1595906341
26,hilo,Hilo,19.73,-155.09,82.4,65,75,6.93,US,1595906341
27,rio brilhante,Rio Brilhante,-21.8,-54.55,67.8,54,0,2.62,BR,1595906342
28,kushmurun,Kushmurun,52.45,64.63,61.81,72,0,11.86,KZ,1595906342
29,barrow,Barrow,71.29,-156.79,39.2,80,90,19.46,US,1595905930
30,carnarvon,Carnarvon,-24.87,113.63,71.6,56,0,14.99,AU,1595906343
31,ikongo,Ikongo,-21.88,47.43,59.32,90,51,1.9,MG,1595906343
32,port alfred,Port Alfred,-33.59,26.89,55.42,62,0,7.23,ZA,1595906344
33,roebourne,Roebourne,-20.78,117.13,76.89,22,22,15.5,AU,1595906344
34,kodiak,Saint Paul Harbor,57.79,-152.41,60.8,72,75,5.82,US,1595906344
